정류소명,정류소아이디,총승차건수,총하차건수,승차건수(카드),하차건수(카드),승차건수(현금),일평균승하차건수
주안시범공단,39927,268,519,268,519,0,26
주안아파트,37207,909,2395,907,2395,2,110
주안아파트,37209,1321,1274,1315,1274,6,86
주안역,37387,82413,29976,82372,29976,41,3746
주안역,37389,18809,74196,18808,74196,1,3100
주안역,37402,907,3661,907,3661,0,152
주안역,37506,24394,18440,24342,18440,52,1427
주안역센트레빌아파트,37430,7761,9732,7761,9732,0,583
주안역센트레빌아파트정문,37490,720,820,720,820,0,51
주안역환승정류장,37503,91868,69104,91868,69104,0,5365
주안역환승정류장,37617,125101,102174,125101,102174,0,7575
주안파크자이더플래티넘아파트,37201,19571,10196,19539,10196,32,992
주안파크자이더플래티넘아파트,37204,9811,20383,9772,20383,39,1006
주안현대아파트,37358,17841,16643,17818,16643,23,1149
주원고개,39377,1323,3742,1319,3742,4,168
주원고개,39396,3466,9334,3462,9334,4,426
주적골,39510,679,1884,676,1884,3,85
주적골,39608,779,1041,778,1041,1,60
주택마을,90230,10,95,10,95,0,3
중고차매매단지엠파크허브,42038,450,662,450,662,0,37
중곡고개,43935,11,0,11,0,0,0
중구노인복지회관,35151,12211,10673,12206,10673,5,762
중구노인복지회관,35152,12917,12058,12896,12058,21,832
중구문화회관,35466,1,677,1,677,0,22
중구문화회관,35467,1908,379,1907,379,1,76
중구청,35157,2994,1372,2994,1372,0,145
중구청,35159,849,3253,849,3253,0,136
중구청소년수련관.하늘중학교,35824,2573,960,2573,960,0,117
중구청입구,35894,28,129,28,129,0,5
중독고개,43936,29,53,29,53,0,2
중봉로교차로,89420,1814,2175,1814,2175,0,132
중봉로교차로,89421,1191,853,1191,853,0,68
중부고용노동청(인천고용센터),39222,649,706,649,706,0,45
중부고용노동청(인천고용센터),39223,626,546,626,546,0,39
중산고등학교,35868,567,581,567,581,0,38
중산고등학교,35869,1324,1361,1324,1361,0,89
중산교차로,35652,781,480,781,480,0,42
중산교차로,35653,486,2832,486,2832,0,110
중산동,35305,2028,645,2028,645,0,89
중산동(까치빌라앞),35247,429,791,429,791,0,40
중산동(중촌),35272,737,1651,737,1651,0,79
중산동(중촌),35278,17,316,17,316,0,11
중산중고등학교,35817,226,312,226,312,0,17
중산중고등학교,35818,368,19,368,19,0,12
중산중학교,35656,1160,742,1160,742,0,63
중산중학교,35657,1238,1437,1238,1437,0,89
중앙공영아파트,41268,3387,1107,3387,1107,0,149
중앙공원사거리,39189,415,725,415,725,0,38
중앙방앗간,35852,3,33,3,33,0,1
중앙방앗간,35853,1,8,1,8,0,0
중앙사료,42014,1937,1348,1937,1348,0,109
중앙사료,42015,574,882,574,882,0,48
중앙산부인과,70176,11,265,11,265,0,9
중앙산부인과,70230,422,80,422,80,0,16
중앙시장,90125,2096,908,2038,908,58,100
중앙시장.고려궁지입구,43067,1284,1716,1272,1716,12,100
중앙아파트,40409,782,792,782,792,0,52
중앙아파트,42315,3060,2011,3060,2011,0,169
중앙하이츠,41110,3832,12621,3830,12621,2,548
중앙호수공원입구(호반베르디움),89245,19,492,19,492,0,17
중원고등학교,55078,2361,693,2361,693,0,101
중촌,43252,175,2,171,2,4,5
중촌,43369,0,85,0,85,0,2
중촌교차로,35436,150,625,150,625,0,25
중촌교차로,35443,1163,331,1163,331,0,49
중혈마을,43176,7,34,7,34,0,1
중혈마을,43299,66,4,65,4,1,2
중흥S클래스,42832,2573,1777,2573,1777,0,145
